Variable	PEN	PEN_TMD	TMD_MAC_PEN	TMD_PEN	TMD_PEN_MAC
fig.623.1318.peg.4570	0	0	0	0	0.041489021762353424
fig.623.1319.peg.4110	0	0	-0.06874737246775417	0	0
fig.623.1321.peg.3940	0	0	0	0	-0.07317059664854075
fig.623.1321.peg.4373	0	0	0	0.05533037260517175	0
fig.623.1323.peg.1827	0	-0.0500554672212939	0	0	0
fig.623.1323.peg.4657	0	0	0	0.018824289078382836	0
fig.623.1323.peg.4661	0	0	0	0.018737688985904326	0
fig.623.1326.peg.4872	0	0	0.06534384831125166	0	0
fig.623.1327.peg.1857	0	0	0.19213265631658874	0	-0.040692441202548064
fig.623.1327.peg.4003	0	0	0.023381487567162695	0	0.05892566342588961
fig.623.1328.peg.3310	0	0	0	0.010552832157347876	0
fig.623.1328.peg.3374	0	0	0	0.01057518969884005	0
fig.623.1329.peg.2911	0	0	0	0	0.04086102411448797
fig.623.1331.peg.2582	0	0.00818845673901307	0	-0.011968875791742859	0
fig.623.1333.peg.4413	0	0.10251649329102291	0	0	0
fig.623.1335.peg.2372	0	0	0	0.02178442195141974	0
fig.623.1337.peg.1229	0	-0.04062221443106073	0	0.03564119620604571	0
fig.623.1337.peg.3735	0.010899472429455936	0	0	0	0
fig.623.1337.peg.4224	0.010830550977279451	0	0	0	0
fig.623.1342.peg.3381	0	0	0	-0.0011968194138700869	0
fig.623.1342.peg.3984	0	0	0.030566787400910487	-0.05929558060424529	0
fig.623.1342.peg.4531	0	0	-0.007233632007029091	0	0
fig.623.1342.peg.55	0	0	0	0.15484294271100155	0
fig.623.1343.peg.1613	0	0	8.815248389666627e-4	0	0
fig.623.1343.peg.4532	0.029326187416725435	0	0	0	0
fig.623.1343.peg.4769	0.029208078202368166	0	0	0	0
fig.623.1343.peg.4770	0.02880191940061133	0	0	0	0
fig.623.1344.peg.216	0	0.00492659020762953	0	0	0
fig.623.1344.peg.217	0	0.004844281606167507	0	0	0
fig.623.1344.peg.218	0	0.004707823635285149	0	0	0
fig.623.1344.peg.219	0	0.0035561581375063694	0	0	0
fig.623.1344.peg.220	0	0.004119029011677912	0	0	0
fig.623.1344.peg.221	0	0.004476264049806212	0	0	0
fig.623.1344.peg.222	0	0.004582461370101453	0	0	0
fig.623.1344.peg.223	0	0.00460892278403196	0	0	0
fig.623.1344.peg.224	0	0.00464004027958856	0	0	0
fig.623.1344.peg.225	0	0.004686404699391195	0	0	0
fig.623.1344.peg.226	0	0.0050008180601416605	0	0	0
fig.623.1344.peg.227	0	0.0044588667999783775	0	0	0
fig.623.1344.peg.228	0	0.004190674332197193	0	0	0
fig.623.1344.peg.229	0	0.004571776789845658	0	0	0
fig.623.1344.peg.230	0	0.004785425863873327	0	0	0
fig.623.1344.peg.231	0	0.004866731582297962	0	0	0
fig.623.1344.peg.232	0	0.004900572675181114	0	0	0
fig.623.1344.peg.233	0	0.004924054888882387	0	0	0
fig.623.1344.peg.234	0	0.0049424626134116426	0	0	0
fig.623.1344.peg.235	0	0.0049535936131397855	0	0	0
fig.623.1344.peg.236	0	0.0049560571011868495	0	0	0
fig.623.1344.peg.237	0	0.004949529570186445	0	0	0
fig.623.1344.peg.238	0	0.00493399248075713	0	0	0
fig.623.1344.peg.239	0	0.004909663829500544	0	0	0
fig.623.1344.peg.240	0	0.0048772572651967555	0	0	0
fig.623.1344.peg.241	0	0.004838136670134292	0	0	0
fig.623.1344.peg.242	0	0.004794259605490109	0	0	0
fig.623.1344.peg.243	0	0.0047479785443441495	0	0	0
fig.623.1344.peg.244	0	0.004701793578155583	0	0	0
fig.623.1344.peg.245	0	0.004589966409009298	0	0	0
fig.623.1344.peg.246	0	0.0040937312041663294	0	0	0
fig.623.1344.peg.247	0	0.0038119179001832124	0	0	0
fig.623.1344.peg.248	0	0.003618516714810024	0	0	0
fig.623.1344.peg.250	0	0.003440719418526811	0	0	0
fig.623.1344.peg.251	0	0.0032622891811572652	0	0	0
fig.623.1344.peg.252	0	0.0030831836691945684	0	0	0
fig.623.1344.peg.253	0	0.003716021297642199	0	0	0
fig.623.1344.peg.254	0	0.004032062621024803	0	0	0
fig.623.1344.peg.255	0	0.0041443082221565945	0	0	0
fig.623.1344.peg.256	0	0.004158858770998122	0	0	0
fig.623.1344.peg.257	0	0.0041521090415226935	0	0	0
fig.623.1344.peg.258	0	0.0041484064833055105	0	0	0
fig.623.1344.peg.259	0	0.004149405794103327	0	0	0
fig.623.1344.peg.260	0	0.0034106647240279677	0	0	0
fig.623.1344.peg.4533	0	0	0	-0.09647851406277198	0
fig.623.1344.peg.4601	0	0.0029974752089571444	0	0	0
fig.623.1344.peg.4641	0	0.002752684832149033	0	0	0
fig.623.1344.peg.4680	0	0.002567697079145038	0	0	0
fig.623.1346.peg.3597	0	0	0	0.05484411800236467	0
fig.623.1347.peg.4516	0	0	0	0.004515234491942262	0
fig.623.1347.peg.4517	0	0	0	0.004590059012925906	0
fig.623.1347.peg.979	0	0.13050000438431394	0	0	0
fig.623.1352.peg.4501	0.1422812543312619	0	0	0	0
fig.623.1356.peg.2470	0	0.03331160798199001	0	0	0
fig.623.1356.peg.4144	0	0	0	0.004119077039054429	0
fig.623.1357.peg.4133	0.017806503228512127	0	0	0	0
fig.623.1358.peg.3036	0	-0.04177426652207365	0	0.10347282500369162	0
fig.623.1358.peg.4870	0	0	0.04788836375446739	0	0
fig.623.1359.peg.2019	0	0	0	-0.005139814772874392	0.01761311520531077
fig.623.1361.peg.2978	-1.447261987752047e-4	0	0	0	0
fig.623.1361.peg.2983	0	0.08706788908501324	0	0	0
fig.623.1361.peg.4467	0	0.15413508763808703	0	0	0
fig.623.1363.peg.4089	0	0	0	0.0046440962520967145	0
fig.623.1363.peg.4559	0	0	0	0.004647969130250482	0
fig.623.1363.peg.4583	0	0	0	0.004664141944945628	0
fig.623.1363.peg.4587	0	0	0	0.004683612380901914	0
fig.623.1363.peg.4588	0	-0.0395004280674105	0	0.24316656406570406	0
fig.623.1363.peg.618	0	0	0	0.004237431048110633	0
fig.623.1363.peg.911	0	0	0	0.004405813932037745	0
fig.623.1371.peg.2510	0	0	0	0	0.001575896254095114
fig.623.1373.peg.4039	0	0	0	-0.05145872751710752	0
fig.623.1374.peg.3204	0	0	0.017122516723866332	0	0
fig.623.1382.peg.4846	0	0	0	0.07308194703138304	0
fig.623.1397.peg.4394	0	0	0.11935730169571859	0	0
fig.623.1401.peg.3894	0	0.00630917660658163	0	0	0
fig.623.1401.peg.4315	0.05681355195361851	0	0	0	0
fig.623.1406.peg.4843	0	0	0.1668273147365709	0	0
fig.623.1416.peg.3095	6.875257077082022e-5	0	0	0	0
fig.623.1416.peg.3666	0.09226440447396443	0	0	0	0
fig.623.1419.peg.4753	0	0	0.02926768089495158	0	0.05683484994140184
fig.623.1422.peg.4237	0.009855702245333742	0	0	0	0
fig.623.1425.peg.4794	0	0	0	0	0.12062555342403453
fig.623.1428.peg.1844	0.010694360643751556	0	0	0	0
fig.623.1431.peg.1032	0	-0.16113588771145607	0	0	0
fig.623.1431.peg.4249	0	0	0	0.0025657765717292916	0
fig.623.1431.peg.825	0	0.03389036098676705	0	0	0
fig.623.1438.peg.192	0	0.15414743159784702	0	0	0
fig.623.1441.peg.4360	0	0	0	0.010465025550050603	0
fig.623.1441.peg.4531	0.10349759378218804	0	0	0	0
fig.623.1443.peg.4185	-0.0728954041952849	0.0491835311646636	0	0	0
fig.623.1443.peg.4756	0	0	0	0.04051123384096463	0
fig.623.1452.peg.2674	0.006997508864234215	0	0	0	0
